"","company","region","seniority","job_category","gender","ethnicity","count","inflow","outflow","salary","year"
"208","Accenture Plc","Pacific Islands",5,"Scientist","female","native",0.004254,0,0,660.4974817201,"2020"
"209","Accenture Plc","Northern Africa",4,"Engineer","male","hispanic",1.784555,0.026361,0.001464,21983.2683799632,"2020"
"210","Apple",NA,5,"Admin","female","multiple",0.391546,0.000221,0.000324,24491.5041121894,"2020"
"211","Bristol Myers Squibb Co.","Western Europe",6,"Marketing","female","hispanic",0.013803,0.013803,0.00014999999999999,2340.51206638956,"2020"
"212","Accenture Plc","Southern Europe",6,"Marketing","female","white",2.940191,0.00116599999999999,0.00117899999999999,222405.461052406,"2020"
"213","Accenture Plc","Southern Europe",4,"Operations","female","api",11.80273,0.010851,0.045216,817309.738453352,"2020"
"214","Bristol Myers Squibb Co.",NA,4,"Sales","female","native",0.245891,0.00017899999999999,0.00270799999999999,17383.1105824777,"2020"
"215","The Goldman Sachs Group","Central America and the Caribbean",3,"Sales","female","api",0.124525,5.5e-05,1.3e-05,4172.44674809989,"2020"
"216","Bristol Myers Squibb Co.",NA,4,"Sales","male","multiple",1.977594,0.00230299999999999,0.001812,159505.909326478,"2020"
"217","The Home Depot","Southern Europe",4,"Sales","male","black",0.093852,5.1e-05,7.9e-05,6453.46555351325,"2020"
"218","Bristol Myers Squibb Co.","Southern America",5,"Engineer","female","api",0.077375,1.4e-05,1.2e-05,2117.31798088256,"2020"
"219","Bristol Myers Squibb Co.","Northern Europe",4,"Admin","male","white",5.453686,0.002098,0.001371,517570.494826167,"2020"
"220","The Goldman Sachs Group","Sub-Saharan Africa",1,"Sales","female","multiple",3.819356,0.001551,0.02175,65734.8942049682,"2020"
"221","Accenture Plc","Northern Africa",1,"Admin","male","api",3.66899,0.000804,0.020749,34480.6099695426,"2020"
"222","Apple","Northern America",5,"Sales","male","black",48.324334,0.839935,0.028001,6703880.76788599,"2020"
"223","Apple","Central and Western Asia",6,"Engineer","male","api",0.92177,0.000102,8.4e-05,43116.5082296836,"2020"
"224","Bristol Myers Squibb Co.","Northern Europe",5,"Scientist","male","native",0.199379,0.006091,0.006439,18583.7321374957,"2020"
"225","The Goldman Sachs Group","South-Eastern Asia",4,"Sales","female","hispanic",0.035351,0,0,881.235236566614,"2020"
"226","Apple","Southern Asia",2,"empty","male","api",72.267127,2.812123,0.016156,951254.535308653,"2020"
"227","Accenture Plc","Western Europe",2,"empty","male","native",0.019943,0,0,1812.69905770309,"2020"
"228","The Goldman Sachs Group","Southern Europe",5,"Engineer","female","multiple",0,0,0,NA,"2020"
"229","Apple","Southern Asia",6,"empty","male","black",0.005,0,0,125.666211537545,"2020"
"230","Apple","Eastern Asia",5,"Engineer","female","black",1.299821,0.00218199999999999,0.000193,152883.300059914,"2020"
